date,total_pcr,index_pcr,etp_pcr,equity_pcr,vix_pcr,spx_pcr
10/07/2019,1.05,1.05,1.89,0.70,0.16,1.75
10/08/2019,1.01,1.12,1.39,0.65,0.56,1.71
10/09/2019,1.03,1.35,1.23,0.59,0.35,2.30
10/10/2019,0.99,1.44,1.14,0.58,0.73,1.72
10/11/2019,0.94,1.44,0.83,0.56,1.12,1.77
10/14/2019,1.15,1.51,1.44,0.61,0.92,1.99
10/15/2019,1.01,1.60,0.98,0.55,1.14,1.97
10/16/2019,0.92,1.29,0.74,0.63,0.51,1.75
10/17/2019,0.91,1.16,1.20,0.60,0.35,1.60
10/18/2019,1.14,1.33,2.13,0.69,0.34,1.75
10/21/2019,0.94,1.41,1.16,0.61,0.37,1.72
10/22/2019,0.95,1.49,1.39,0.61,0.53,1.97
10/23/2019,0.87,1.12,0.94,0.69,0.11,1.81
10/24/2019,0.78,0.99,0.75,0.68,0.18,1.55
10/25/2019,0.82,1.04,1.10,0.56,0.44,1.41
10/28/2019,0.79,1.14,0.65,0.51,0.49,1.73
10/29/2019,0.85,1.26,1.01,0.55,0.17,1.97
10/30/2019,0.97,1.26,1.37,0.60,0.99,1.91
10/31/2019,1.16,1.26,2.16,0.71,0.79,1.72
11/01/2019,0.74,1.01,0.76,0.53,0.53,1.20
11/04/2019,0.65,0.75,0.72,0.54,0.16,1.18
11/05/2019,0.85,1.05,1.37,0.58,0.43,1.62
11/06/2019,0.93,1.36,1.15,0.63,1.17,1.70
11/07/2019,0.66,0.82,0.71,0.54,0.57,0.99
11/08/2019,0.94,1.36,1.40,0.59,0.65,1.89
11/11/2019,0.91,1.34,1.04,0.61,0.48,1.66
11/12/2019,0.88,1.15,1.26,0.59,0.44,1.85
11/13/2019,1.00,1.45,1.68,0.58,0.70,1.98
11/14/2019,0.92,1.19,2.16,0.47,0.38,1.97
11/15/2019,0.84,1.16,1.32,0.49,0.89,1.43
11/18/2019,0.84,1.14,1.20,0.55,0.80,1.40
11/19/2019,1.08,1.86,1.32,0.58,1.98,1.80
11/20/2019,1.00,1.27,1.39,0.64,0.62,1.96
11/21/2019,1.21,2.16,1.97,0.59,1.05,2.59
11/22/2019,0.96,1.71,1.02,0.58,1.63,2.00
11/25/2019,0.94,1.19,1.24,0.63,0.47,1.71
11/26/2019,1.05,1.05,2.37,0.57,0.31,1.58
11/27/2019,0.94,1.03,1.83,0.58,0.35,1.22
11/29/2019,0.96,1.30,1.15,0.59,0.11,2.03
12/02/2019,0.99,1.34,0.92,0.66,0.61,1.81
12/03/2019,1.13,1.41,1.58,0.70,0.91,1.65
