日付,タイトル,URL,スキップ理由
2026-02-25,公开市场业务交易公告 [2026]第35号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026022511443152713/index.html,逆回购なし
2025-12-22,公开市场业务交易公告 [2025]第248号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2025122209140837398/index.html,逆回购なし
2025-11-24,公开市场业务交易公告 [2025]第227号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/5908984/index.html,逆回购なし
2025-09-22,公开市场业务交易公告 [2025]第185号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2025100917205190850/index.html,逆回购なし
2025-08-25,公开市场业务交易公告 [2025]第164号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/5817008/index.html,逆回购なし
2025-06-18,公开市场业务交易公告 [2025]第115号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/5747284/index.html,逆回购なし
2025-02-14,公开市场业务交易公告 [2025]第30号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/5588523/index.html,逆回购なし
2025-01-15,公开市场业务交易公告 [2025]第11号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/5567261/index.html,逆回购なし
2024-12-18,公开市场业务交易公告 [2024]第251号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/5537797/index.html,逆回购なし
2024-11-20,公开市场业务交易公告 [2024]第230号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/5511848/index.html,逆回购なし
2024-09-25,公开市场业务交易公告 [2024]第192号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/5467539/index.html,逆回购なし
2024-08-29,公开市场业务交易公告 [2024]第173号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/5444387/index.html,逆回购なし
2024-08-21,公开市场业务交易公告 [2024]第166号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/5436378/index.html,逆回购なし
